,,top,mac,L4,L3,L2,L4_tree,L3_tree,L2_tree,mult_2x2,count,out_reg,pipe_reg,in_reg,accum
8x4,BG_L3_L4_10_L3_10_L2_11_DVAFS_0,377.91865,209.86394,205.16745,189.95814,106.54686,15.20931,83.41128,79.68599,26.86087,0.0,1.76056,0.0,150.77477,20.21586
8x4,BG_L3_L4_10_L3_11_L2_10_DVAFS_0,371.33295,261.77868,251.36835,212.59733,66.65074,38.77102,145.94659,44.85829,21.79246,0.0,3.84062,0.0,98.62127,17.50271
8x4,BG_L3_L4_10_L3_11_L2_11_DVAFS_0,414.2196,213.62765,209.77965,193.81882,111.33272,15.96083,82.4861,83.25967,28.07305,0.0,1.06665,0.0,179.59475,23.77856
8x4,BG_L3_L4_11_L3_00_L2_10_DVAFS_0,467.81515,428.92606,402.11454,198.69612,89.45298,203.41842,109.24313,61.20735,28.24564,0.0,6.86943,0.0,34.20727,24.62391
8x4,BG_L3_L4_11_L3_00_L2_11_DVAFS_0,428.74402,278.8556,272.05041,196.50378,138.75752,75.54663,57.74626,108.09668,30.66085,0.0,1.54419,0.0,137.2569,17.89251
8x4,BG_L3_L4_11_L3_10_L2_10_DVAFS_0,460.04329,288.92579,283.85258,236.20801,84.39988,47.64457,151.80813,59.42394,24.97594,0.0,1.76068,0.0,154.08002,20.35002
8x4,BG_L3_L4_11_L3_10_L2_11_DVAFS_0,551.86238,257.27298,255.57124,239.63297,150.27966,15.93827,89.35331,113.38326,36.8964,0.0,0.4867,0.0,267.85475,27.94969
8x4,BG_L3_L4_11_L3_11_L2_10_DVAFS_0,523.81707,298.51238,294.68093,249.49885,90.26017,45.18208,159.23868,64.67368,25.58649,0.0,1.00231,0.0,202.15992,25.97391
8x4,BG_L3_L4_11_L3_11_L2_11_DVAFS_0,770.88666,285.60219,284.3366,270.18758,166.15008,14.14903,104.03749,127.83515,38.31493,0.0,0.33663,0.0,441.35088,44.86255
8x4,LOOM,221.10821,207.27071,154.45055,152.99131,152.99131,1.45925,0.0,86.35658,18.67627,0.19058,11.03491,47.95846,11.40123,44.22151
8x4,BG_BS_L4_00_L3_10_L2_11_DVAFS_0,205.31962,176.82168,161.12852,159.59524,146.0864,1.53328,13.50884,79.78525,18.73369,0.12721,3.72678,47.56745,25.06239,15.40193
8x4,BG_BS_L4_00_L3_11_L2_11_DVAFS_0,209.95906,170.11252,162.76339,161.44082,145.8168,1.32257,15.62402,80.16525,17.64207,0.19441,1.57242,48.00948,35.52778,10.09547
8x4,BG_BS_L4_10_L3_00_L2_11_DVAFS_0,252.33953,224.95014,207.7036,159.76118,159.76118,47.94242,0.0,92.32896,19.26615,0.19025,3.88693,48.16607,23.95401,16.79499
8x4,BG_BS_L4_10_L3_10_L2_11_DVAFS_0,277.55655,195.37568,189.10831,162.58389,147.15168,26.52442,15.43221,80.59999,18.84866,0.12722,1.32084,47.70304,74.74645,12.38095
8x4,BG_BS_L4_10_L3_11_L2_11_DVAFS_0,272.10876,178.83194,176.38649,164.97331,147.0337,11.41318,17.93961,80.18321,17.71752,0.19441,0.54976,49.13297,84.90363,10.26888
8x4,BG_BS_L4_11_L3_00_L2_11_DVAFS_0,267.80001,229.55974,221.02143,149.82529,149.82529,71.19615,0.0,84.49325,17.33109,0.12617,1.87613,48.00095,33.89975,11.00269
8x4,BG_BS_L4_11_L3_10_L2_11_DVAFS_0,298.13147,205.07668,202.21851,163.80228,145.66382,38.41623,18.13846,79.35899,17.97838,0.11852,0.63949,48.32645,84.6893,10.58418
8x4,BG_BS_L4_11_L3_11_L2_11_DVAFS_0,327.84136,191.02891,189.85972,172.75664,152.67281,17.10308,20.08383,84.81717,17.58184,0.18812,0.23679,50.2738,124.84637,12.89848
8x2,BG_L2_L4_00_L3_00_L2_00_DVAFS_0,671.45643,647.89154,193.71791,193.71791,193.71791,0.0,0.0,160.31505,33.40285,0.0,214.49088,0.0,7.00373,256.2439
8x2,BG_L2_L4_00_L3_00_L2_10_DVAFS_0,528.78537,513.08888,274.29045,274.29045,274.29045,0.0,0.0,239.61636,34.67409,0.0,76.18747,0.0,10.14968,168.15776
8x2,BG_L2_L4_00_L3_00_L2_11_DVAFS_0,400.22053,384.18533,217.48127,217.48127,217.48127,0.0,0.0,187.78277,29.69851,0.0,49.05834,0.0,12.79872,120.88219
8x2,BG_L2_L4_00_L3_10_L2_00_DVAFS_0,696.44394,680.58188,421.63318,421.63318,200.45223,0.0,221.18096,171.30186,29.15036,0.0,72.66748,0.0,10.31527,191.82801
8x2,BG_L2_L4_00_L3_10_L2_10_DVAFS_0,348.61284,319.25905,261.64501,261.64501,198.3859,0.0,63.25912,171.28807,27.09783,0.0,22.11403,0.0,24.18772,40.66608
8x2,BG_L2_L4_00_L3_10_L2_11_DVAFS_0,326.22532,297.76632,250.90352,250.90352,225.34772,0.0,25.55579,194.90008,30.44764,0.0,13.07431,0.0,26.08436,36.16313
8x2,BG_L2_L4_00_L3_11_L2_00_DVAFS_0,632.6287,605.68638,473.3165,473.3165,149.891,0.0,323.42549,126.9027,22.98831,0.0,21.5595,0.0,23.57584,114.17686
8x2,BG_L2_L4_00_L3_11_L2_10_DVAFS_0,350.34798,295.20736,279.71734,279.71734,220.81072,0.0,58.90662,190.73143,30.07929,0.0,6.06356,0.0,50.02488,14.5422
8x2,BITFUSION,275.97656,225.975,216.42479,216.42479,191.71305,0.0,24.71174,164.4706,27.24245,0.0,4.04029,0.0,45.84685,9.66464
8x2,BG_L2_L4_10_L3_00_L2_00_DVAFS_0,835.01639,819.07949,558.92265,207.05037,207.05037,351.87227,0.0,178.20418,28.84619,0.0,72.07961,0.0,10.37087,193.64325
8x2,BG_L2_L4_10_L3_00_L2_10_DVAFS_0,447.0363,420.55477,363.4012,255.52572,255.52572,107.87548,-0.0,223.01996,32.50576,0.0,21.22478,0.0,23.62277,38.78755
8x2,BG_L2_L4_10_L3_00_L2_11_DVAFS_0,381.16064,352.25771,305.69417,211.31841,211.31841,94.37575,-0.0,182.45154,28.86687,0.0,13.00665,0.0,26.40834,36.05148
8x2,BG_L2_L4_10_L3_10_L2_00_DVAFS_0,679.59423,646.0989,540.83226,307.99799,143.98629,232.83426,164.0117,119.96239,24.0239,0.0,22.11537,0.0,28.7894,87.8572
8x2,BG_L2_L4_10_L3_10_L2_10_DVAFS_0,423.59146,304.17437,286.81227,249.88189,195.08143,36.93038,54.80046,166.33221,28.74923,0.0,6.24476,0.0,103.83302,26.70141
8x2,BG_L2_L4_10_L3_10_L2_11_DVAFS_0,363.13584,254.53912,244.9631,208.27883,184.87681,36.68427,23.40203,158.44477,26.43204,0.0,3.70632,0.0,98.43205,16.03437
8x2,BG_L2_L4_10_L3_11_L2_00_DVAFS_0,720.83072,628.31449,598.88904,443.64712,154.8269,155.24191,288.82022,126.00017,28.82673,0.0,6.11173,0.0,84.12828,31.70168
8x2,BG_L2_L4_10_L3_11_L2_10_DVAFS_0,499.37747,309.48774,305.60538,293.55037,242.75522,12.05502,50.79514,209.75458,33.00065,0.0,1.67091,0.0,171.27112,20.83005
8x2,BG_L2_L4_10_L3_11_L2_11_DVAFS_0,477.68148,252.15273,249.42375,238.9443,214.57419,10.47945,24.37011,182.91911,31.65508,0.0,0.92963,0.0,202.39401,24.93409
8x2,BG_L2_L4_11_L3_00_L2_00_DVAFS_0,856.23888,836.59667,709.46856,151.02044,151.02044,558.44811,0.0,128.6062,22.41424,0.0,21.66092,0.0,16.56917,108.54024
8x2,BG_L2_L4_11_L3_00_L2_10_DVAFS_0,384.12522,340.97761,326.53712,214.47292,214.47292,112.0642,-0.0,182.23199,32.24093,0.0,6.0056,0.0,39.01551,12.56699
8x2,BG_L2_L4_11_L3_00_L2_11_DVAFS_0,390.33177,334.54564,324.18208,201.63968,201.63968,122.5424,0.0,174.28283,27.35686,0.0,3.78525,0.0,50.87119,11.49325
8x2,BG_L2_L4_11_L3_10_L2_00_DVAFS_0,874.22296,828.71164,792.01658,315.43615,155.94693,476.58044,159.48921,128.47433,27.4726,0.0,6.38565,0.0,40.24995,35.57077
8x2,BG_L2_L4_11_L3_10_L2_10_DVAFS_0,541.71855,325.39829,321.46412,282.91824,226.62977,38.54588,56.28848,192.82448,33.80529,0.0,1.6539,0.0,194.9157,23.68482
8x2,BG_L2_L4_11_L3_10_L2_11_DVAFS_0,503.75639,300.90362,297.76007,254.30516,226.64307,43.45491,27.66208,195.60506,31.03801,0.0,0.93085,0.0,181.55522,23.51025
8x2,BG_L2_L4_11_L3_11_L2_00_DVAFS_0,935.74174,790.55186,779.46781,494.99994,183.64986,284.46787,311.35008,150.34349,33.30637,0.0,2.06951,0.0,132.80949,21.39493
8x2,BG_L2_L4_11_L3_11_L2_10_DVAFS_0,774.64391,442.14857,440.5011,427.68391,343.76561,12.8172,83.9183,287.6864,56.0792,0.0,0.81872,0.0,303.38636,29.93772
8x2,BG_L2_L4_11_L3_11_L2_11_DVAFS_0,770.68149,362.70133,361.62201,347.84398,303.07233,13.77802,44.77165,260.91077,42.16156,0.0,0.2414,0.0,368.93757,39.88051
8x2,BG_L3_L4_00_L3_00_L2_10_DVAFS_0,418.32375,402.5109,179.27456,179.27456,79.63243,0.0,99.64212,51.97017,27.66226,0.0,73.33314,0.0,10.26491,155.45115
8x2,BG_L3_L4_00_L3_00_L2_11_DVAFS_0,235.88581,206.68292,137.29623,137.29623,93.49959,-0.0,43.79664,69.05871,24.44089,0.0,21.42396,0.0,25.63358,51.53204
